1920,1240,40,40
1360,1240,40,40
1320,1240,40,40
1280,1240,40,40
1240,1240,40,40
1200,1240,40,40
1160,1240,40,40
1120,1240,40,40
680,1240,40,40
640,1240,40,40
200,1240,40,40
160,1240,40,40
120,1240,40,40
-40,1240,40,40
200,120,40,40
160,120,40,40
120,120,40,40
80,120,40,40
280,320,40,40
240,320,40,40
200,320,40,40
160,320,40,40
120,320,40,40
80,320,40,40
40,320,40,40
0,320,40,40
680,120,40,40
720,120,40,40
760,120,40,40
800,120,40,40
840,120,40,40
880,120,40,40
560,200,40,40
520,200,40,40
480,200,40,40
440,200,40,40
680,320,40,40
640,320,40,40
360,520,40,40
400,520,40,40
440,520,40,40
480,520,40,40
520,520,40,40
560,520,40,40
560,480,40,40
520,480,40,40
480,480,40,40
440,480,40,40
400,480,40,40
360,480,40,40
200,640,40,40
160,640,40,40
120,640,40,40
80,640,40,40
40,640,40,40
0,640,40,40
80,1240,40,40
40,1240,40,40
0,1240,40,40
0,880,40,40
40,880,40,40
80,880,40,40
120,880,40,40
160,880,40,40
200,880,40,40
200,1200,40,40
160,1200,40,40
120,1200,40,40
80,1200,40,40
40,1200,40,40
0,1200,40,40
-40,1200,40,40
680,1200,40,40
680,1160,40,40
680,1120,40,40
680,1080,40,40
640,1080,40,40
640,1120,40,40
640,1160,40,40
640,1200,40,40
760,1040,40,40
720,1040,40,40
680,1040,40,40
640,1040,40,40
600,1040,40,40
560,1040,40,40
560,1000,40,40
600,1000,40,40
640,1000,40,40
680,1000,40,40
720,1000,40,40
760,1000,40,40
640,880,40,40
640,920,40,40
640,960,40,40
680,960,40,40
680,920,40,40
680,880,40,40
680,840,40,40
640,840,40,40
1120,1200,40,40
1160,1200,40,40
1200,1200,40,40
1240,1200,40,40
1280,1200,40,40
1320,1200,40,40
1360,1200,40,40
1680,1240,40,40
1080,1040,40,40
1040,1040,40,40
920,880,40,40
960,880,40,40
1000,880,40,40
1440,960,40,40
1480,960,40,40
1520,960,40,40
1280,720,40,40
1240,720,40,40
1200,720,40,40
1200,760,40,40
1240,760,40,40
1280,760,40,40
1920,1200,40,40
1920,1160,40,40
1920,1120,40,40
1680,1120,40,40
1680,1160,40,40
1680,1200,40,40
2000,960,40,40
2040,960,40,40
2080,960,40,40
2120,960,40,40
2160,960,40,40
1880,800,40,40
1880,840,40,40
1840,840,40,40
1800,840,40,40
1760,840,40,40
1720,840,40,40
1680,840,40,40
1680,800,40,40
1720,800,40,40
1760,800,40,40
1800,800,40,40
1840,800,40,40
1120,280,40,40
1160,280,40,40
1200,280,40,40
1240,280,40,40
1280,280,40,40
1320,280,40,40
1360,280,40,40
1360,240,40,40
1320,240,40,40
1280,240,40,40
1240,240,40,40
1200,240,40,40
1160,240,40,40
1120,240,40,40
960,400,40,40
920,400,40,40
880,400,40,40
880,640,40,40
920,640,40,40
960,640,40,40
1000,640,40,40
1040,640,40,40
720,560,40,40
1680,200,40,40
1720,200,40,40
1760,200,40,40
1800,200,40,40
1840,200,40,40
1880,200,40,40
1520,440,40,40
1560,440,40,40
1600,440,40,40
1640,440,40,40
1680,440,40,40
1680,400,40,40
1640,400,40,40
1600,400,40,40
1560,400,40,40
1520,400,40,40
2000,640,40,40
2040,640,40,40
2080,640,40,40
2120,640,40,40
2160,640,40,40
1880,480,40,40
1840,480,40,40
2160,320,40,40
2120,320,40,40
2080,320,40,40
1480,680,40,40
1520,680,40,40
240,1240,40,40
280,1240,40,40
320,1240,40,40
360,1240,40,40
400,1240,40,40
440,1240,40,40
480,1240,40,40
520,1240,40,40
560,1240,40,40
600,1240,40,40
720,1240,40,40
760,1240,40,40
800,1240,40,40
840,1240,40,40
880,1240,40,40
920,1240,40,40
960,1240,40,40
1000,1240,40,40
1040,1240,40,40
1080,1240,40,40
1400,1240,40,40
1440,1240,40,40
1480,1240,40,40
1520,1240,40,40
1560,1240,40,40
1600,1240,40,40
1640,1240,40,40
1960,1240,40,40
2000,1240,40,40
2040,1240,40,40
2080,1240,40,40
2120,1240,40,40
2160,1240,40,40
360,720,40,40
400,720,40,40
320,1040,40,40
360,1040,40,40
1880,1120,40,40
1840,1120,40,40
1800,1120,40,40
1760,1120,40,40
1720,1120,40,40
